"Code","Pen","System","Trial","Sampling_time","Sampling_date","Chicken_body_weight","TBARS","Salmonella","Campylobacter","Clostridium","Cortisol","FPD","Haptoglobin","CRP","LPS","Observations","Comments","Treatment","Sex","Replicate","Breed","Crypt_depth_caecum","Acidic_goblet_cell_number_caecum","Mixed_goblet_cell_number_caecum","Total_goblet_cell_number_caecum","Acidic_goblet_cell_density_caecum","Mixed_goblet_cell_density_caecum","Total_goblet_cell_density_caecum","Acetic_acid_caecum","Propionic_acid_caecum","i.Butyric_acid_caecum","n.Butyric_acid_caecum","i.Valeric_acid_caecum","n.Valeric_acid_caecum","Total_SCFAs_caecum","Total_branch_chain_fatty_acids_caecum","Putrescin_caecum","Histamin_caecum","Cadaverin_caecum","Spermidin_caecum","Tyramin_caecum","Spermin_caecum","Gesamtamine_caecum","L.Laktat_caecum","D.Laktat_caecum","Total_lactate_caecum","L.D_lactic_ratio_caecum","Ammonium_caecum","Acetic.totalFA_ratio_caecum","Propionic.totalFA_ratio","iButyric.totalFA_ratio_caecum","nButyric.totalFA_ratio_caecum","iValeria.totalFA_ratio_caecum","nValeric.totalFA_ratio_caecum","IL1_caecum","IL2_caecum","IL4_caecum","IL6_caecum","IL8_caecum","IL10_caecum","IL12_caecum","IL17_caecum","IL18_caecum","TNFa_caecum","IFNg_caecum","TGFb_caecum","MUC2_caecum","CLN5_caecum","Villi_height_ileum","Villi_width_ileum","Crypt_depth_ileum","VH.CD_ratio_ileum","Epithelial_area_ileum","Acidic_goblet_cell_number_ileum","Mixed_goblet_cell_number","Total_goblet_cell_number_ileum","Acidic_goblet_cell_density_ileum","Mixed_goblet_cell_density_ileum","Total_goblet_cell_density_ileum","Acetic_acid_ileum","Propionic_acid_ileum","i.Butyric_acid_ileum","n.Butyric_acid_ileum","i.Valeric_acid_ileum","n.Valeric_acid_ileum","Total_SCFAs_ileum","Total_branch_chain_fatty_acids_ileum","Putrescin_ileum","Histamin_ileum","Cadaverin_ileum","Spermidin_ileum","Tyramin_ileum","Spermin_ileum","Gesamtamine_ileum","L.Laktat_ileum","D.Laktat_ileum","Total_lactate_ileum","L.D_lactic_ratio_ileum","Ammonium_ileum","Acetic.totalFA_ratio_ileum","Propionic.totalFA_ratio_ileum","iButyric.totalFA_ratio_ileum","nButyric.totalFA_ratio_ileum","iValeria.totalFA_ratio_ileum","nValeric.totalFA_ratio_ileum","IL1_ileum","IL2_ileum","IL4_ileum","IL6_ileum","IL8_ileum","IL10_ileum","IL12_ileum","IL17_ileum","IL18_ileum","TNFa_ileum","IFNg_ileum","TGFb_ileum","MUC2_ileum","CLN5_ileum"
"CA01.02","CA01","Chicken","CA","Day 7","11/02/2019",173,NA,"-","-","-",9.1,NA,26.31,2.93,8.59,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.03","CA01","Chicken","CA","Day 7","11/02/2019",176,NA,"-","-","-",8,NA,23.49,0,7.85,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,61.86607,1.67924,0.230094,6.61589,"-",0.328883,70.720177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.874800837,0.0237,0.00325,0.0936,NA,0.00465,-3.236,-4.326,-4.093,-5.477,-3.186,-6.368,-3.92,-4.143,-3.084,-3.103,-2.972,-1.136,-0.754,-1.843,271.7777778,91.66666667,110.2222222,2.465725806,24.91296296,5.133580247,44.08839506,49.22197531,"1.888888889",16.22222222,18.11111111,0.561834,0.0216,0.0244,0.0231,0.0504,0.0554,0.7368389,0.0748,0.0206,0,0.0103,0.0309,0,0.0309,0.0927,4.192712193,0.72995988,4.922672073,0.174102072,2.962970441,0.762492317,0.0294,0.0331,0.0313,0.0685,0.0752,-0.003,-0.086,0.089,-2.872,-5.71,-1.743,-3.906,-2.493,-6.07,-3.903,-3.365,-2.902,-2.904,-1.743
"CA01.04","CA01","Chicken","CA","Day 7","12/02/2019",201.6,NA,"-","-","-",7.66,NA,16.15,0.2,9.75,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.05","CA01","Chicken","CA","Day 7","12/02/2019",202.4,NA,"-","-","-",8.21,NA,59.79,0.17,7.17,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.06","CA01","Chicken","CA","Day 7","12/02/2019",239.4,NA,"-","-","-",9.02,NA,55.11,1.01,8.66,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.07","CA01","Chicken","CA","Day 21","25/02/2019",920.8,NA,"-","-","-",9.27,NA,54.59,0,11.12,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.08","CA01","Chicken","CA","Day 21","25/02/2019",963.4,NA,"-","-","-",19.48,NA,78.35,0,8.2,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.09","CA01","Chicken","CA","Day 21","25/02/2019",995.4,NA,"-","-","-",11.6,NA,31.75,0,7.09,"","","CC","Male","R1","Cobb",261.1,4.1,10.9,15,1.672700315,4.162233515,5.83493383,75.27402439,3.597823165,0.839545358,20.6734731,"0.543892922",1.211932141,102.1406911,1.383438279,NA,NA,NA,NA,NA,NA,NA,0.023,0.00625,0.0293,0.271186441,NA,0.736964119,0.0352,0.00822,0.202401931,0.00532,0.0119,-2.715,-5.109,-3.478,-5.675,-3.006,-6.391,-4.527,-4.072,-3.038,-3.011,-2.805,-0.942,-1.08,-1.805,356,169.3333333,210.125,1.694229625,60.28266667,19.58,67.04666667,86.62666667,"5.5",18.83333333,24.33333333,0.997204,0.0152,0,0.123613,0.195189,0.0262,1.3574054,0.195189,0.0203,0,0.0101,0.0304,0,0.0253,0.0862,13.90332579,1.788262248,15.69158804,0.128621186,2.503340973,0.734639777,0.0112,0,0.0911,0.143795656,0.0193,-1.233,-4.245,-1.885,-4.613,-1.796,-4.245,-2.383,-2.203,-1.643,-1.783,-0.662,1.616,2.173,-0.163
"CA01.10","CA01","Chicken","CA","Day 21","26/02/2019",1095.2,NA,"-","-","-",9.58,NA,101.77,0,6.65,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.11","CA01","Chicken","CA","Day 21","26/02/2019",1100,NA,"-","-","-",7.68,NA,80.34,0.47,6.65,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.12","CA01","Chicken","CA","Day 21","26/02/2019",1045.4,NA,"-","-","-",8.53,NA,38.75,0,8.32,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.13","CA01","Chicken","CA","Day 35","11/03/2019",2766.4,NA,"-","-","-",18.34,NA,62.04,0.76,15.67,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.14","CA01","Chicken","CA","Day 35","11/03/2019",2729.2,NA,"-","-","-",26.3,NA,46.83,0.64,14,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.15","CA01","Chicken","CA","Day 35","12/03/2019",2519.8,NA,"-","-","-",16.65,NA,48.42,0.66,14.66,"","","CC","Male","R1","Cobb",349.72,8.428571429,10.71428571,19.14285714,5.235137533,6.654835847,11.88997338,53.36980437,4.956357599,0.708958461,13.46733128,"0.432764995",0.714235379,73.64945209,1.016518984,0.0377,0.0969,0.0215,1.884683732,0.0431,0.0269,2.11084578,0.158684477,0.223937906,0.382622383,1.411214953,12.41314571,0.723872255,0.0691,0.00682,0.186248898,0.00427,0.00973,-2.699,-4.292,-3.527,-4.056,-1.853,-4.739,-3.316,-2.761,-2.09,-3.412,-2.064,-0.593,-0.607,-1.53,665.98,136.263,152.281,4.373362402,90.74843274,9.3226,156.4865,165.8091,"1.4",23.5,24.9,2.444309738,0.176349042,0,0,0.0121,0.0322,2.664956355,0.0121,0.0201,0,0,0.0101,0,0.00504,0.0353,4.333215272,1.384530632,5.717745903,0.319515774,2.693702697,0.917204416,0.0662,0,0,0.00453,0.0121,-2.667,-5.225,-3.929,-4.831,-3.406,-5.554,-3.618,-4.229,-2.808,-3.52,-2.832,-1.059,0.292,-1.915
"CA01.16","CA01","Chicken","CA","Day 35","12/03/2019",2350.4,NA,"-","-","-",15.49,NA,53.95,0.51,15.17,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,61.02304,11.0824,1.08286,20.97473,"0.785618",2.43573,97.384378,1.868478,0.169470745,0.0407,5.199362444,1.287977659,0.0339,0.0678,6.799166273,0.253874146,0.155570488,0.409444634,1.631891433,13.05387808,0.626620422,0.113800593,0.0111,0.215380849,0.00807,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3.22042,0.0235,0.132995,NA,NA,NA,3.3768936,0.132995,2.289082251,0.251307359,2.316398268,0.103800866,0.14204329,0.0109,5.113558442,34.6773388,31.10946055,65.78679936,1.114687886,2.528266697,0.100638125,0.000734,0.00416,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.17","CA01","Chicken","CA","Day 35","13/03/2019",2749.6,NA,"-","-","-",18.97,NA,45.6,0.67,14.25,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA01.18","CA01","Chicken","CA","Day 35","13/03/2019",2844.8,NA,"-","-","-",17.86,NA,51.23,0.67,16.45,"","","CC","Male","R1","Cobb",NA,NA,NA,NA,NA,NA,NA,53.58227,11.61666,0.853827,6.20099,"0.465809",1.0237,73.743256,1.319636,0.0471,0,0.989816816,0.969616472,0,0.0337,2.040234661,0.0473,0.0748,0.122150769,0.632989691,9.613578745,0.726605698,0.157528439,0.0116,0.0841,0.00632,0.0139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2.64179,0.0293,0.0671,NA,NA,NA,2.7382169,0.0671,1.328313886,0.351946414,1.084222018,0.102177991,0.210032538,0.0114,3.088045957,49.75333321,39.01726001,88.77059322,1.275162151,2.320439247,0.0826,0.000917,0.0021,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA02.01","CA02","Chicken","CA","Day 7","11/02/2019",136,NA,"-","-","-",7.66,NA,18.95,1.04,8.76,"","","CO","Female","R1","Ross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
